job title,company name,job location,job skills
Frontend Developer - React/Vue (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Sass · JavaScript · CSS · UI · Frontend · HTML5 · Software Development · Vue.js · React.js
Frontend Development Lead,Nugttah -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MEAN Stack · Computer Science · Development · Debugging · Information Technology (IT) · Software Development · Js · Software Engineering
Front-End Software Engineer,Eden Solutions -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Typescript · Computer Science · Information Technology (IT) · Software Engineering · Front-End Development · HTML · CSS
Senior Frontend Developer (Angular),FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Typescript · apex saleforce · HTML · CSS · JavaScript · Software Development · Software Engineering
Senior Frontend Developer Angular,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Agile · Computer Science · HTML5 · Git · Design · CSS3 · Software Development
UI / Front-End Developer,@DESIGNS Agency -,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / ProjectEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · CSS · javaScript · DreamWeaver · Web Design · Adobe Photoshop · UI · Adobe Dreamweaver
Senior Frontend Developer Vue.js,Totira -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Computer Science · Design · Front end
Senior Software Developer - Front-End,Alkan CIT -,"Maadi, Cairo, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Esri · EsriNeA · Dojo · ArcGIS For JS Apis · Xamarin · GIS · HTML5 · JavaScript
Junior Angular Front-End Developer,ATI Systems -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Bootstrap · Computer Engineering · Computer Science · CSS3 · Engineering · front-end
Senior/Mid Angular Frontend Developer,Boyot -,"6th of October, Giza, Egypt ",Full TimePart TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · RESTful · Git · Software Development · Ionic · HTML · CSS · Computer Science
Senior Front-End Developer (Angular),DEVOPSolution -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · UI · Front-End · Web Performance · HTML5 · CSS3
Senior Frontend Developer (vue.js & nuxt.js),The stock -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Frontend · JavaScript · Js · Vue · nuxt · Computer Science · CSS · Sass
UX & Front-End Senior Developer,Mobilar -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Testing · Arabic · English · Computer Science · Information Technology (IT) · IT · Quality Control · APIs
Frontend Developer,Impress Digital Solutions -,"Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Software Development · JavaScript · React · Computer Science · front-end · Git · CSS
Senior Frontend JS Developer- React,Reach -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Front-End · Git · RESTful · Typescript · Computer Science · Software Development · javaScript
